Dataset,Model,Metric,Mean,Std,Runs,Mean (%),Std (%),Result
Chameleon-F,GRAPHITE (all),accuracy,0.46759775578975676,0.03247385330199035,10,46.75977557897568,3.247385330199035,46.76 ± 3.25
Chameleon-F,HAFS,accuracy,0.4759776324033737,0.03913273045896445,10,47.59776324033737,3.9132730458964446,47.60 ± 3.91
Minesweeper,GRAPHITE (all),auc,0.8812281000000001,0.009121762152493747,10,88.12281,0.9121762152493748,88.12 ± 0.91
Minesweeper,HAFS,auc,0.8706272500000001,0.007079003124459775,10,87.062725,0.7079003124459775,87.06 ± 0.71
Squirrel-F,GRAPHITE (all),accuracy,0.43842696845531465,0.014464887716238998,10,43.842696845531464,1.4464887716238999,43.84 ± 1.45
Squirrel-F,HAFS,accuracy,0.44000000059604644,0.021260743818285053,10,44.000000059604645,2.1260743818285053,44.00 ± 2.13
